chr,strand,coord,peakID,start,end,toStop,ftr,gene_type,ftr_start,ftr_end,gene,gene_start,gene_end,gene_stop_codon
1,-,10012445,peak_157494,10012445,10013043,1189,3UTR,protein_coding,NA,NA,AT1G28480,NA,NA,NA
1,-,10013237,peak_157493,10013237,10014079,397,3UTR,protein_coding,NA,NA,AT1G28480,NA,NA,NA
1,-,10041598,peak_138708,10041598,10042103,240,3UTR,protein_coding,10041576,10041837,AT1G28570,10041576,10044258,10041838
1,-,10044296,peak_138712,10044296,10045225,307,3UTR,protein_coding,NA,NA,AT1G28580,NA,NA,NA
1,-,10053488,peak_138722,10053488,10054137,989,3UTR,protein_coding,10053443,10054136,AT1G28610,10053443,10055881,10054477
1,-,10071703,peak_138743,10071703,10072146,153,3UTR,protein_coding,10071609,10071855,AT1G28660,10071609,10073549,10071856
1,-,10074490,peak_138749,10074490,10074914,179,3UTR,protein_coding,10074359,10074668,AT1G28670,10074359,10076457,10074669
1,-,10077948,peak_157495,10077948,10078299,NA,exon,lncRNA,10077923,10079092,AT1G28685,10077923,10079643,10077923
1,-,10086681,peak_157500,10086681,10087102,169,3UTR,protein_coding,10086366,10086849,AT1G28710,10086366,10089772,10086850
1,-,10105002,peak_138784,10105002,10105555,327,3UTR,protein_coding,NA,NA,AT1G28765,NA,NA,NA
1,-,10109500,peak_157511,10109500,10110383,520,3UTR,protein_coding,10109500,10110019,AT1G28960,10109500,10111731,10110020
1,-,1011129,peak_128201,1011129,1011602,NA,5UTR,protein_coding,1010952,1011145,AT1G03940,1009228,1011145,1009542
1,-,10120327,peak_138793,10120327,10120767,170,3UTR,protein_coding,10120300,10120496,AT1G29020,10120300,10122973,10120497
1,-,10124170,peak_157514,10124170,10124813,354,3UTR,protein_coding,NA,NA,AT1G29025,NA,NA,NA
1,-,10124878,peak_157515,10124878,10125176,NA,intron,protein_coding,10124773,10124879,AT1G29025,10124286,10127098,10124524
1,-,10125607,peak_157520,10125607,10125746,NA,CDS,protein_coding,10125607,10125746,AT1G29025,10124286,10127098,10124524
1,-,10125806,peak_157516,10125806,10126016,NA,intron,protein_coding,10125747,10125834,AT1G29025,10124286,10127098,10124524
1,-,10128930,peak_138806,10128930,10129427,271,3UTR,protein_coding,NA,NA,AT1G29030,NA,NA,NA
1,-,10136098,peak_138825,10136098,10136736,278,3UTR,protein_coding,NA,NA,AT1G29050,NA,NA,NA
1,-,10183317,peak_157525,10183317,10184254,480,3UTR,protein_coding,NA,NA,AT1G29160,NA,NA,NA
1,-,10202403,peak_157530,10202403,10203329,270,3UTR,protein_coding,NA,NA,AT1G29195,NA,NA,NA
1,-,10209284,peak_157535,10209284,10209386,NA,intergenic,protein_coding,10210520,10207378,AT1G29220,10210520,10212722,10210678
1,-,10209447,peak_157532,10209447,10209768,NA,intergenic,protein_coding,10210520,10207378,AT1G29220,10210520,10212722,10210678
1,-,10209825,peak_157533,10209825,10210047,853,3UTR,protein_coding,NA,NA,AT1G29220,NA,NA,NA
1,-,10216723,peak_138883,10216723,10217061,300,3UTR,protein_coding,NA,NA,AT1G29240,NA,NA,NA
