chr,strand,coord,tottag,UPA_start,UPA_end,nPA,maxtag,ftr,gene_type,ftr_start,ftr_end,gene,gene_start,gene_end,gene_stop_codon
chr1,-,10024810,8,10024810,10024830,4,2,3UTR,NA,10024601,10024978,26754,10024601,10038127,10024979
chr1,-,10037637,2,10037637,10037637,1,2,intron,NA,10035164,10037669,26754,10024601,10038127,10024979
chr1,-,10037694,2,10037694,10037694,1,2,CDS,NA,10037670,10037812,26754,10024601,10038127,10024979
chr1,-,100635794,4,100635794,100635794,2,2,intergenic,NA,101753814,100282643,character(0),101753814,101754543,3074322
chr1,-,10078561,2,10078561,10078561,1,2,intergenic,NA,10137571,10057944,211673,10137571,10232670,10138832
chr1,-,10135684,2,10135684,10135684,1,2,intergenic,NA,10137571,10057944,211673,10137571,10232670,10138832
chr1,-,10137530,4,10137529,10137530,2,2,3UTR,NA,NA,NA,211673,NA,NA,NA
chr1,-,10137572,6,10137556,10137572,3,2,3UTR,NA,10137571,10138831,211673,10137571,10232670,10138832
chr1,-,101423862,2,101423862,101423862,1,2,intergenic,NA,101753814,100282643,character(0),101753814,101754543,3074322
chr1,-,101453748,2,101453748,101453748,1,2,intergenic,NA,101753814,100282643,character(0),101753814,101754543,3074322
chr1,-,10165790,2,10165790,10165790,1,2,intron,NA,10163788,10172833,211673,10137571,10232670,10138832
chr1,-,10170134,2,10170134,10170134,1,2,intron,NA,10163788,10172833,211673,10137571,10232670,10138832
chr1,-,10180896,2,10180896,10180896,1,2,CDS,NA,10180870,10181041,211673,10137571,10232670,10138832
chr1,-,10180980,2,10180980,10180980,1,2,CDS,NA,10180870,10181041,211673,10137571,10232670,10138832
chr1,-,102428978,2,102428978,102428978,1,2,intergenic,NA,102458656,102414021,character(0),102458656,102458922,3074322
chr1,-,102628215,6,102628215,102628235,3,2,intergenic,NA,102953415,102458922,character(0),102953415,102953548,3074322
chr1,-,102631586,2,102631586,102631586,1,2,intergenic,NA,102953415,102458922,character(0),102953415,102953548,3074322
chr1,-,104548455,2,104548455,104548455,1,2,intergenic,NA,104632584,104471416,character(0),104632584,104633358,3074322
chr1,-,104944550,2,104944550,104944550,1,2,intergenic,NA,105276914,104912333,320311,105276914,105356670,105284219
chr1,-,105276925,4,105276917,105276925,2,2,3UTR,NA,105276914,105284218,320311,105276914,105356670,105284219
chr1,-,105356558,2,105356558,105356558,1,2,5UTR,NA,105356343,105356670,320311,105276914,105356670,105284219
chr1,-,105468951,2,105468951,105468951,1,2,intron,NA,105406907,105568775,character(0),3073253,3074322,3074322
chr1,-,105518421,6,105518421,105518426,3,2,intron,NA,105406907,105568775,character(0),3073253,3074322,3074322
chr1,-,105521222,2,105521222,105521222,1,2,3UTR,NA,105518422,105522003,27392,105518422,105659008,105522004
chr1,-,105669764,2,105669764,105669764,1,2,intergenic,NA,105887633,105663677,character(0),105887633,105891012,3074322
chr1,-,105764129,2,105764129,105764129,1,2,intergenic,NA,105887633,105663677,character(0),105887633,105891012,3074322
chr1,-,106170989,2,106170989,106170989,1,2,intron,NA,106163800,106171339,626049,106152625,106171524,106152625
chr1,-,106712973,4,106712973,106712974,2,2,5UTR,NA,106712881,106714274,12043,106538178,106714274,106543264
